"Sector" "Source" "Month" "EmissCO2_MillMetricTons" "EnerCons_TrillBTU" "IPI" "MPI"
"80" "Commercial" "Coal" 1979-08-01 0.719 7.491 51.3658 46.8595
"81" "Commercial" "Coal" 1979-09-01 0.955 9.947 51.3623 46.9164
"82" "Commercial" "Coal" 1979-10-01 1.333 13.879 51.7175 47.1641
"83" "Commercial" "Coal" 1979-11-01 1.594 16.601 51.6341 46.9875
"84" "Commercial" "Coal" 1979-12-01 1.7 17.705 51.6694 47.138
"85" "Commercial" "Coal" 1980-01-01 1.478 15.387 51.944 47.375
"86" "Commercial" "Coal" 1980-02-01 1.293 13.464 51.9633 47.3055
"87" "Commercial" "Coal" 1980-03-01 0.922 9.599 51.7454 46.9162
"88" "Commercial" "Coal" 1980-04-01 0.988 10.294 50.7197 45.9344
"89" "Commercial" "Coal" 1980-05-01 0.597 6.215 49.4766 44.5099
"90" "Commercial" "Coal" 1980-06-01 0.472 4.915 48.8383 43.782
"91" "Commercial" "Coal" 1980-07-01 0.585 6.091 48.4907 43.2893
"92" "Commercial" "Coal" 1980-08-01 0.552 5.752 48.6456 43.6057
"93" "Commercial" "Coal" 1980-09-01 0.734 7.64 49.4578 44.3692
"94" "Commercial" "Coal" 1980-10-01 1 10.418 50.0861 45.21
"95" "Commercial" "Coal" 1980-11-01 1.059 11.024 50.9209 46.0254
"96" "Commercial" "Coal" 1980-12-01 1.354 14.105 51.257 46.1998
"97" "Commercial" "Coal" 1981-01-01 1.584 16.494 50.9328 46.0071
"98" "Commercial" "Coal" 1981-02-01 1.26 13.121 50.7237 45.7821
"99" "Commercial" "Coal" 1981-03-01 0.839 8.735 50.9806 45.9304
"100" "Commercial" "Coal" 1981-04-01 0.995 10.357 50.7661 46.1843
"101" "Commercial" "Coal" 1981-05-01 0.832 8.661 51.0552 46.3911
"102" "Commercial" "Coal" 1981-06-01 0.531 5.529 51.3214 46.1692
"103" "Commercial" "Coal" 1981-07-01 0.761 7.924 51.6555 46.2716
"104" "Commercial" "Coal" 1981-08-01 0.812 8.459 51.5903 46.2516
"105" "Commercial" "Coal" 1981-09-01 1.039 10.818 51.3429 46.063
"106" "Commercial" "Coal" 1981-10-01 1.108 11.536 50.9463 45.5899
"107" "Commercial" "Coal" 1981-11-01 1.506 15.683 50.3546 44.9863
"108" "Commercial" "Coal" 1981-12-01 1.869 19.461 49.8086 44.1952
"109" "Commercial" "Coal" 1982-01-01 1.796 18.705 48.7877 43.0933
"110" "Commercial" "Coal" 1982-02-01 1.254 13.054 49.7839 44.3326
"111" "Commercial" "Coal" 1982-03-01 1.018 10.605 49.4477 43.9984
"112" "Commercial" "Coal" 1982-04-01 1.272 13.242 48.9913 43.6768
"113" "Commercial" "Coal" 1982-05-01 0.845 8.797 48.6669 43.5879
"114" "Commercial" "Coal" 1982-06-01 0.657 6.838 48.5415 43.5503
"115" "Commercial" "Coal" 1982-07-01 1.136 11.83 48.3775 43.4979
"116" "Commercial" "Coal" 1982-08-01 1.212 12.621 47.9382 43.0724
"117" "Commercial" "Coal" 1982-09-01 1.152 11.999 47.8139 42.9898
"118" "Commercial" "Coal" 1982-10-01 1.194 12.432 47.3575 42.4338
"119" "Commercial" "Coal" 1982-11-01 1.529 15.917 47.2078 42.1778
"120" "Commercial" "Coal" 1982-12-01 1.841 19.176 46.8713 42.0434
"121" "Commercial" "Coal" 1983-01-01 1.624 16.912 47.7398 43.0338
"122" "Commercial" "Coal" 1983-02-01 1.42 14.788 47.4484 43.0152
"123" "Commercial" "Coal" 1983-03-01 1.012 10.541 47.8426 43.4336
"124" "Commercial" "Coal" 1983-04-01 1.409 14.673 48.4483 43.9702
"125" "Commercial" "Coal" 1983-05-01 0.851 8.858 48.747 44.5112
"126" "Commercial" "Coal" 1983-06-01 0.674 7.021 49.0434 44.8835
"127" "Commercial" "Coal" 1983-07-01 1.1 11.459 49.7739 45.559
"128" "Commercial" "Coal" 1983-08-01 1.04 10.828 50.364 45.9439
"129" "Commercial" "Coal" 1983-09-01 1.382 14.387 51.0937 46.8195
"130" "Commercial" "Coal" 1983-10-01 1.468 15.286 51.4902 47.311
"131" "Commercial" "Coal" 1983-11-01 1.552 16.166 51.721 47.5517
"132" "Commercial" "Coal" 1983-12-01 1.988 20.7 51.9769 47.7115
"133" "Commercial" "Coal" 1984-01-01 1.858 19.346 53.0088 48.5811
"134" "Commercial" "Coal" 1984-02-01 1.626 16.929 53.2486 49.1102
"135" "Commercial" "Coal" 1984-03-01 1.159 12.066 53.5028 49.3252
"136" "Commercial" "Coal" 1984-04-01 1.649 17.17 53.8233 49.5755
"137" "Commercial" "Coal" 1984-05-01 0.995 10.367 54.1104 49.7244
"138" "Commercial" "Coal" 1984-06-01 0.787 8.197 54.3075 49.9565
"139" "Commercial" "Coal" 1984-07-01 1.235 12.857 54.4587 50.166
"140" "Commercial" "Coal" 1984-08-01 1.166 12.142 54.5239 50.2564
"141" "Commercial" "Coal" 1984-09-01 1.549 16.131 54.3696 50.0675
"142" "Commercial" "Coal" 1984-10-01 1.231 12.818 54.3474 50.3293
"143" "Commercial" "Coal" 1984-11-01 1.302 13.561 54.529 50.4648
"144" "Commercial" "Coal" 1984-12-01 1.666 17.353 54.5556 50.6086
"145" "Commercial" "Coal" 1985-01-01 1.408 14.66 54.527 50.4756
"146" "Commercial" "Coal" 1985-02-01 1.232 12.828 54.6871 50.2496
"147" "Commercial" "Coal" 1985-03-01 0.878 9.143 54.7673 50.6307
"148" "Commercial" "Coal" 1985-04-01 1.295 13.489 54.6467 50.4439
"149" "Commercial" "Coal" 1985-05-01 0.782 8.144 54.7396 50.5665
"150" "Commercial" "Coal" 1985-06-01 0.618 6.44 54.711 50.5798
"151" "Commercial" "Coal" 1985-07-01 0.887 9.24 54.4365 50.3701
"152" "Commercial" "Coal" 1985-08-01 0.838 8.726 54.6121 50.6245
"153" "Commercial" "Coal" 1985-09-01 1.113 11.593 54.8147 50.6739
"154" "Commercial" "Coal" 1985-10-01 1.215 12.647 54.6228 50.5748
"155" "Commercial" "Coal" 1985-11-01 1.285 13.381 54.8123 50.9291
"156" "Commercial" "Coal" 1985-12-01 1.644 17.122 55.3553 51.103
"157" "Commercial" "Coal" 1986-01-01 1.515 15.773 55.6453 51.7129
"158" "Commercial" "Coal" 1986-02-01 1.325 13.802 55.2634 51.4457
"159" "Commercial" "Coal" 1986-03-01 0.945 9.837 54.8728 51.2686
"160" "Commercial" "Coal" 1986-04-01 1.366 14.221 54.935 51.3999
"161" "Commercial" "Coal" 1986-05-01 0.825 8.586 55.0399 51.4608
"162" "Commercial" "Coal" 1986-06-01 0.652 6.79 54.826 51.2605
"163" "Commercial" "Coal" 1986-07-01 0.797 8.299 55.167 51.5447
"164" "Commercial" "Coal" 1986-08-01 0.753 7.837 55.0726 51.6894
"165" "Commercial" "Coal" 1986-09-01 1 10.413 55.2237 51.8327
"166" "Commercial" "Coal" 1986-10-01 1.124 11.7 55.4589 52.0297
"167" "Commercial" "Coal" 1986-11-01 1.189 12.378 55.6763 52.2187
"168" "Commercial" "Coal" 1986-12-01 1.521 15.839 56.2078 52.7381
"169" "Commercial" "Coal" 1987-01-01 1.253 13.047 55.9911 52.5393
"170" "Commercial" "Coal" 1987-02-01 1.096 11.417 56.7373 53.3257
"171" "Commercial" "Coal" 1987-03-01 0.781 8.137 56.8136 53.342
"172" "Commercial" "Coal" 1987-04-01 1.043 10.858 57.185 53.6696
"173" "Commercial" "Coal" 1987-05-01 0.63 6.556 57.5424 54.0494
"174" "Commercial" "Coal" 1987-06-01 0.498 5.184 57.8502 54.2571
"175" "Commercial" "Coal" 1987-07-01 0.873 9.086 58.2421 54.68
"176" "Commercial" "Coal" 1987-08-01 0.824 8.58 58.6784 54.9742
"177" "Commercial" "Coal" 1987-09-01 1.095 11.399 58.9088 55.3734
"178" "Commercial" "Coal" 1987-10-01 1.135 11.822 59.7008 56.237
"179" "Commercial" "Coal" 1987-11-01 1.201 12.508 59.9956 56.5225
"180" "Commercial" "Coal" 1987-12-01 1.537 16.005 60.3246 56.9233
"181" "Commercial" "Coal" 1988-01-01 1.459 15.191 60.309 56.7743
"182" "Commercial" "Coal" 1988-02-01 1.197 12.469 60.6122 56.9799
"183" "Commercial" "Coal" 1988-03-01 0.883 9.19 60.7452 57.1539
"184" "Commercial" "Coal" 1988-04-01 1.074 11.183 61.108 57.6925
"185" "Commercial" "Coal" 1988-05-01 0.632 6.584 60.9843 57.561
"186" "Commercial" "Coal" 1988-06-01 0.777 8.087 61.1615 57.7032
"187" "Commercial" "Coal" 1988-07-01 1.198 12.477 61.171 57.6841
"188" "Commercial" "Coal" 1988-08-01 1.162 12.105 61.4771 57.7733
"189" "Commercial" "Coal" 1988-09-01 0.685 7.134 61.2785 57.9542
"190" "Commercial" "Coal" 1988-10-01 0.787 8.199 61.5488 58.1951
"191" "Commercial" "Coal" 1988-11-01 1.049 10.919 61.7049 58.4263
"192" "Commercial" "Coal" 1988-12-01 1.685 17.549 61.9851 58.704
"193" "Commercial" "Coal" 1989-01-01 1.135 11.815 62.1677 59.2071
"194" "Commercial" "Coal" 1989-02-01 1.243 12.948 61.8916 58.5994
"195" "Commercial" "Coal" 1989-03-01 0.918 9.564 62.0508 58.5289
"196" "Commercial" "Coal" 1989-04-01 0.916 9.54 62.0289 58.6309
"197" "Commercial" "Coal" 1989-05-01 0.602 6.273 61.6871 58.153
"198" "Commercial" "Coal" 1989-06-01 0.531 5.533 61.6857 58.2669
"199" "Commercial" "Coal" 1989-07-01 0.89 9.265 61.0896 57.5583
"200" "Commercial" "Coal" 1989-08-01 0.806 8.396 61.6847 58.1312
"201" "Commercial" "Coal" 1989-09-01 0.571 5.946 61.4794 58.0082
"202" "Commercial" "Coal" 1989-10-01 0.376 3.919 61.4014 57.8569
